texto,categoria,metadados_json
Diagnóstico CID-10 código A048: Outras infecções bacterianas intestinais especificadas.,entidade_diagnostico,"{""categoria"": ""entidade_diagnostico"", ""codigo_cid"": ""A048""}"
Diagnóstico CID-10 código A049: Infecção intestinal bacteriana não especificada.,entidade_diagnostico,"{""categoria"": ""entidade_diagnostico"", ""codigo_cid"": ""A049""}"
Diagnóstico CID-10 código A080: Enterite por rotavírus.,entidade_diagnostico,"{""categoria"": ""entidade_diagnostico"", ""codigo_cid"": ""A080""}"
Diagnóstico CID-10 código A083: Outras enterites virais.,entidade_diagnostico,"{""categoria"": ""entidade_diagnostico"", ""codigo_cid"": ""A083""}"
Diagnóstico CID-10 código A084: Infecção intestinal devida a vírus não especificado.,entidade_diagnostico,"{""categoria"": ""entidade_diagnostico"", ""codigo_cid"": ""A084""}"
Diagnóstico CID-10 código A085: Outras infecções intestinais especificadas.,entidade_diagnostico,"{""categoria"": ""entidade_diagnostico"", ""codigo_cid"": ""A085""}"
Diagnóstico CID-10 código A09: Diarréia e gastroenterite de origem infecciosa presumível.,entidade_diagnostico,"{""categoria"": ""entidade_diagnostico"", ""codigo_cid"": ""A09""}"
"Diagnóstico CID-10 código A150: Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura.",entidade_diagnostico,"{""categoria"": ""entidade_diagnostico"", ""codigo_cid"": ""A150""}"
"Diagnóstico CID-10 código A153: Tuberculose pulmonar, com confirmação por meio não especificado.",entidade_diagnostico,"{""categoria"": ""entidade_diagnostico"", ""codigo_cid"": ""A153""}"
"Diagnóstico CID-10 código A156: Pleuris tuberculoso, com confirmação bacteriológica e histológica.",entidade_diagnostico,"{""categoria"": ""entidade_diagnostico"", ""codigo_cid"": ""A156""}"
"Diagnóstico CID-10 código A159: Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica.",entidade_diagnostico,"{""categoria"": ""entidade_diagnostico"", ""codigo_cid"": ""A159""}"
"Diagnóstico CID-10 código A169: Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica.",entidade_diagnostico,"{""categoria"": ""entidade_diagnostico"", ""codigo_cid"": ""A169""}"
Diagnóstico CID-10 código A279: Leptospirose não especificada.,entidade_diagnostico,"{""categoria"": ""entidade_diagnostico"", ""codigo_cid"": ""A279""}"
Diagnóstico CID-10 código A310: Infecção pulmonar micobacteriana.,entidade_diagnostico,"{""categoria"": ""entidade_diagnostico"", ""codigo_cid"": ""A310""}"
Diagnóstico CID-10 código A311: Infecção cutânea micobacteriana.,entidade_diagnostico,"{""categoria"": ""entidade_diagnostico"", ""codigo_cid"": ""A311""}"
Diagnóstico CID-10 código A318: Outras infecções micobacterianas.,entidade_diagnostico,"{""categoria"": ""entidade_diagnostico"", ""codigo_cid"": ""A318""}"
Diagnóstico CID-10 código A319: Infecção micobacteriana não especificada.,entidade_diagnostico,"{""categoria"": ""entidade_diagnostico"", ""codigo_cid"": ""A319""}"
Diagnóstico CID-10 código A403: Septicemia por Streptococcus pneumonia.,entidade_diagnostico,"{""categoria"": ""entidade_diagnostico"", ""codigo_cid"": ""A403""}"
